Valor 79512 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 47745 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 41970 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 31201 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 85665 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 52246 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 53992 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 89897 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 22551 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 94259 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 87997 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 35720 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 64478 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 87565 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 59443 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 48493 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 27728 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 79818 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 44235 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 57407 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 30532 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 31593 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 83126 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 48816 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 58697 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 78177 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 22505 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 64313 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 77800 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 76829 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 41961 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 87810 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 60902 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 88769 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 65880 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 61674 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 68932 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 61330 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 33483 encontrado em 1 passos, tempo: 0.000001 segundos
